Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,101229,101229,24569166,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,5807,5807,1317949,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,76,Brazil,BRA,300220,Vaccines; for human medicine,8,Weight in kilograms,29,29,57656,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,100,100,28446,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,7472,7472,3836493,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,2341,2341,1548386,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,6164,6164,1275908,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,344,"China, Hong Kong SAR",HKG,300220,Vaccines; for human medicine,8,Weight in kilograms,1427,1427,23563,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,20739,20739,3828904,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,430,Liberia,LBR,300220,Vaccines; for human medicine,8,Weight in kilograms,1300,1300,71718,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,620,Portugal,PRT,300220,Vaccines; for human medicine,8,Weight in kilograms,8552,8552,3042869,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,643,Russian Federation,RUS,300220,Vaccines; for human medicine,8,Weight in kilograms,834,834,213918,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,45841,45841,9064299,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,702,Singapore,SGP,300220,Vaccines; for human medicine,8,Weight in kilograms,188,188,74913,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,710,South Africa,ZAF,300220,Vaccines; for human medicine,8,Weight in kilograms,425,425,176095,0
H5,2019,2019,2019,6,1,1,Import,24,Angola,AGO,784,United Arab Emirates,ARE,300220,Vaccines; for human medicine,8,Weight in kilograms,4,4,8043,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,15966,15966,4843586,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,2431,2431,1079851,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,100,Bulgaria,BGR,300220,Vaccines; for human medicine,8,Weight in kilograms,76,76,23950,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,887,887,410132,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,5,5,11966,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,259,259,33981,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,300220,Vaccines; for human medicine,8,Weight in kilograms,6,6,458,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,1753,1753,302240,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1,1,768,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines; for human medicine,8,Weight in kilograms,838,838,314798,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,8449,8449,2224776,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,75,75,35176,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,1181,1181,405485,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,279408,279408,175386231,0
H5,2019,2019,2019,6,1,2,Export,32,Argentina,ARG,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,6982,6982,830435,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,967,967,191354,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,47927,47927,37697596,0
H5,2019,2019,2019,6,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,300220,Vaccines; for human medicine,8,Weight in kilograms,1214,1214,409453,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,690,690,297797,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,192,Cuba,CUB,300220,Vaccines; for human medicine,8,Weight in kilograms,576,576,25703,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,59780,59780,20050197,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,1644,1644,311230,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,1342,1342,336369,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,372,Ireland,IRL,300220,Vaccines; for human medicine,8,Weight in kilograms,2590,2590,11971045,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,381,Italy,ITA,300220,Vaccines; for human medicine,8,Weight in kilograms,34403,34403,40108732,0
