Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,2959,2959,277835,0
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,146,146,19669,0
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,191,Croatia,HRV,300220,Vaccines for human medicine,8,Weight in kilograms,25,25,5405,0
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,128,128,21115,0
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,279,279,35279,0
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,985,985,116682,0
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,38,38,27874,0
H2,2005,2005,2005,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,1358,1358,51812,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,53308,53308,9180535,0
H2,2005,2005,2005,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,900,900,46559,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,336,336,652600,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,3837,3837,285443,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,33,33,43839,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,15488,15488,3512497,0
H2,2005,2005,2005,6,1,2,Export,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,900,900,46559,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,360,Indonesia,IDN,300220,Vaccines for human medicine,8,Weight in kilograms,4270,4270,732369,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,392,Japan,JPN,300220,Vaccines for human medicine,8,Weight in kilograms,1,1,202,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,504,Morocco,MAR,300220,Vaccines for human medicine,8,Weight in kilograms,98,98,19579,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,686,Senegal,SEN,300220,Vaccines for human medicine,8,Weight in kilograms,54,54,12833,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,26317,26317,2972984,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,757,Switzerland,CHE,300220,Vaccines for human medicine,8,Weight in kilograms,2850,2850,938757,0
H2,2005,2005,2005,6,1,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,24,24,9432,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,15840,15840,1893282,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,88,88,68656,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,281,281,63668,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,208,208,90464,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,300220,Vaccines for human medicine,8,Weight in kilograms,729,729,80280,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,5026,5026,18600,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines for human medicine,8,Weight in kilograms,1499,1499,138957,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,7547,7547,1423999,0
H2,2005,2005,2005,6,1,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,300220,Vaccines for human medicine,8,Weight in kilograms,462,462,8658,0
